                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.96594,                0.83438,                0.55845,                0.84341,                0.58308,                0.53488,                0.52473,                 0.3503,                0.58308,                0.53488,                0.52473,                0.27677,                 1.0444,                 1.6657,                  1.577,                0.84489,               0.007723,               0.007723,               0.007723
                     25,                0.72713,                0.72036,                0.66901,                0.83145,                0.69662,                0.67647,                0.67148,                0.47773,                0.66622,                0.64706,                0.64655,                0.36993,                 1.0021,                 1.8417,                 1.4187,                0.84958,               0.007624,               0.007624,               0.007624
                     26,                 0.7873,                0.89344,                0.49605,                 0.8392,                0.71772,                0.70588,                0.67659,                0.50959,                0.68755,                0.67647,                0.65262,                0.34039,                 1.0182,                  1.482,                 1.1877,                0.85194,               0.007525,               0.007525,               0.007525
                     27,                0.68325,                0.83446,                0.46596,                0.83038,                0.73274,                0.64516,                0.67827,                0.40066,                0.69969,                0.61675,                0.62389,                0.28293,                 1.2748,                  1.338,                 1.3801,                0.88471,               0.007426,               0.007426,               0.007426
                     28,                0.79067,                0.82081,                0.53322,                0.83757,                 0.7903,                0.55437,                0.58739,                0.32922,                0.68978,                0.52941,                0.56679,                0.25652,                 1.4622,                 1.4829,                 1.5165,                0.90435,               0.007327,               0.007327,               0.007327
                     29,                0.82942,                0.79484,                0.55281,                0.85201,                0.77082,                0.55882,                0.65111,                 0.4442,                0.77082,                0.55882,                0.65111,                0.29312,                 1.2522,                 1.3436,                 1.3116,                0.88505,               0.007228,               0.007228,               0.007228
                     30,                 0.7657,                0.80892,                0.49608,                 0.8783,                0.79821,                0.64706,                0.75413,                0.49179,                0.79821,                0.64706,                0.75151,                0.37684,                 1.1959,                 1.3313,                 1.0551,                0.86973,               0.007129,               0.007129,               0.007129
                     31,                0.73913,                 0.8091,                0.45532,                0.84256,                0.85011,                0.66746,                0.78395,                 0.5354,                0.85011,                0.66746,                0.78395,                0.40246,                 1.2166,                 1.4142,                 1.1164,                0.87856,                0.00703,                0.00703,                0.00703
                     32,                0.70507,                0.78152,                0.46438,                0.83247,                0.91587,                0.64706,                0.80573,                0.47746,                0.91587,                0.64706,                0.78147,                0.44627,                 1.3213,                 1.4596,                0.99965,                0.89366,               0.006931,               0.006931,               0.006931
                     33,                0.81578,                0.68868,                0.51271,                0.83247,                0.90266,                0.67647,                0.82331,                0.53241,                0.90266,                0.67647,                0.81698,                0.44019,                 1.2341,                 1.5945,                0.95928,                0.87669,               0.006832,               0.006832,               0.006832
                     34,                0.74289,                0.87163,                0.47094,                0.83288,                0.92894,                0.64706,                0.79375,                0.58432,                0.92894,                0.64706,                0.79375,                0.41988,                 1.1178,                 1.5756,                 1.2082,                0.87855,               0.006733,               0.006733,               0.006733
                     35,                0.66911,                0.67841,                0.46783,                0.83334,                0.95493,                0.62342,                 0.7311,                0.51759,                0.95493,                0.62342,                 0.7311,                0.45086,                 1.1071,                 1.6501,                 1.1426,                0.86747,               0.006634,               0.006634,               0.006634
                     36,                0.75759,                0.75793,                0.44931,                0.84169,                0.90806,                0.64706,                0.70991,                0.50162,                0.90806,                0.64706,                0.70991,                0.46768,                 1.0373,                 1.4454,                 1.2208,                0.85845,               0.006535,               0.006535,               0.006535
                     37,                0.72326,                0.72297,                0.42139,                0.82474,                0.87004,                0.64706,                0.71543,                0.51099,                0.87004,                0.64706,                0.71543,                0.38709,                  1.018,                 1.3974,                 1.2254,                0.86791,               0.006436,               0.006436,               0.006436
                     38,                0.59894,                  0.725,                0.41391,                0.81008,                0.84528,                0.64287,                0.69074,                0.50368,                0.84528,                0.64287,                0.68397,                 0.3658,                  1.012,                 1.7001,                 1.2593,                0.86965,               0.006337,               0.006337,               0.006337
                     39,                0.75865,                 0.6478,                0.48634,                0.82804,                0.87423,                0.61765,                0.71148,                0.49834,                 0.8315,                0.58824,                0.66949,                0.39957,                 1.0486,                 1.7863,                 1.0819,                0.86662,               0.006238,               0.006238,               0.006238
                     40,                0.65781,                0.61912,                0.46301,                0.84474,                0.85034,                0.66864,                0.73254,                0.51889,                0.85034,                0.66864,                0.72821,                0.36627,                 1.0061,                 1.7973,                 1.1116,                0.86537,               0.006139,               0.006139,               0.006139
                     41,                0.63828,                0.62095,                0.44451,                0.82602,                0.88857,                0.70366,                0.77564,                0.52019,                0.85142,                0.67425,                0.74346,                0.38394,                0.99631,                 1.6771,                 1.1864,                0.84916,                0.00604,                0.00604,                0.00604
                     42,                0.66787,                0.69526,                0.44598,                0.82279,                0.92773,                0.75537,                0.81471,                 0.5475,                0.92723,                0.74984,                  0.791,                0.39221,                  1.053,                 1.7889,                 1.0981,                0.85261,               0.005941,               0.005941,               0.005941
                     43,                0.63136,                0.64856,                0.40873,                0.83526,                0.91886,                0.66638,                0.80726,                0.56141,                0.91886,                0.66638,                0.80518,                0.36266,                 1.1468,                 1.6591,                  1.446,                0.86628,               0.005842,               0.005842,               0.005842
                     44,                0.64731,                0.66526,                 0.3959,                0.82806,                0.95372,                0.60643,                0.80884,                0.60657,                0.95372,                0.60643,                0.80617,                0.38675,                0.98743,                 1.5119,                 1.6921,                 0.8412,               0.005743,               0.005743,               0.005743
                     45,                0.62569,                0.62084,                0.41989,                0.81297,                0.89348,                0.61765,                0.79337,                0.58889,                0.89348,                0.61765,                0.79337,                0.40742,                0.97939,                 1.5427,                 1.9889,                0.84684,               0.005644,               0.005644,               0.005644
                     46,                0.64046,                0.65764,                0.42929,                0.80538,                0.81481,                0.64706,                0.77763,                 0.5806,                0.77778,                0.61765,                0.75421,                0.44688,                  1.051,                  1.531,                 1.8447,                0.85455,               0.005545,               0.005545,               0.005545
                     47,                0.65147,                0.67586,                0.39743,                0.83908,                0.94714,                0.58824,                0.73375,                0.53977,                0.89978,                0.55882,                0.70105,                0.36133,                0.99613,                 1.4662,                 1.6773,                0.84248,               0.005446,               0.005446,               0.005446
                     48,                0.65485,                0.68283,                0.42669,                0.81573,                0.92799,                0.58824,                0.73436,                0.54024,                0.92799,                0.58824,                0.73436,                0.35015,                0.94042,                 1.4875,                 1.4466,                 0.8392,               0.005347,               0.005347,               0.005347
                     49,                0.55748,                0.64053,                0.39214,                0.81715,                0.86326,                0.61765,                0.73471,                0.51119,                0.87269,                0.61765,                0.71031,                0.31787,                0.98999,                  1.707,                 1.5872,                0.84067,               0.005248,               0.005248,               0.005248
                     50,                0.55864,                0.56893,                0.37949,                0.78974,                0.90228,                0.54351,                0.74728,                0.52363,                0.94515,                0.50715,                0.72024,                0.34199,                0.99528,                 1.5518,                 1.9325,                0.83341,               0.005149,               0.005149,               0.005149
                     51,                0.60796,                0.74239,                0.40692,                0.81488,                0.83307,                0.58824,                0.70847,                0.49252,                 0.8303,                0.57592,                0.69595,                0.34864,                0.97397,                  1.534,                 1.7092,                0.83624,                0.00505,                0.00505,                0.00505
                     52,                0.60116,                0.59745,                0.40963,                0.81475,                0.83962,                0.64706,                0.72539,                0.51781,                0.83894,                0.61296,                0.71139,                0.32878,                0.97685,                 1.5837,                 1.4662,                0.83669,               0.004951,               0.004951,               0.004951
                     53,                0.58958,                0.63959,                0.39052,                0.79405,                0.83595,                0.58824,                0.73546,                0.50012,                0.83595,                0.58824,                 0.7243,                0.32612,                 1.0402,                 1.6425,                 1.3191,                 0.8487,               0.004852,               0.004852,               0.004852
                     54,                0.54389,                0.69098,                0.35278,                0.81165,                0.97089,                0.55882,                0.74414,                0.53001,                0.97089,                0.55882,                0.74414,                0.33363,                0.93608,                 1.5863,                 1.1212,                0.83357,               0.004753,               0.004753,               0.004753
                     55,                0.57034,                0.61772,                0.37528,                0.79893,                0.95183,                0.58142,                0.77056,                0.54863,                0.95183,                0.58142,                0.77056,                0.36672,                0.97073,                 1.4546,                  1.163,                0.83889,               0.004654,               0.004654,               0.004654
                     56,                0.57385,                0.55279,                0.36838,                0.79625,                0.90675,                0.57234,                0.73226,                0.53572,                0.86038,                0.54407,                0.68033,                0.34828,                0.95553,                 1.5788,                 1.4107,                0.84243,               0.004555,               0.004555,               0.004555
                     57,                0.60899,                0.60867,                0.37536,                0.81017,                0.92192,                0.55882,                0.72878,                0.53083,                0.87284,                0.52941,                0.67253,                0.35607,                 1.0214,                 1.5579,                 1.3943,                0.85366,               0.004456,               0.004456,               0.004456
